Name,state,summit_elev,vertical_drop,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,cluster
Sipapu Ski Resort,New Mexico,9255,1055,0,0.0,0,0,1,2,0,3,6,42.0,4.0,0.5,200.0,140.0,127.0,67.0,190.0,47.0,47.0,143.0,0.0,2
Ski Apache,New Mexico,11500,1900,1,0.0,0,0,2,6,0,2,11,55.0,3.0,2.0,750.0,270.0,133.0,58.0,185.0,74.0,74.0,124.0,0.0,2
Ski Santa Fe,New Mexico,12075,1725,0,0.0,0,0,1,2,2,2,7,83.0,1.0,3.0,660.0,275.0,107.0,73.0,225.0,80.0,80.0,130.0,0.0,2
Belleayre,New York,3429,1404,1,0.0,0,1,1,1,2,2,8,50.0,2.0,2.2,175.0,168.0,154.0,70.0,130.0,60.0,72.0,150.0,0.0,0
Brantling Ski Slopes,New York,850,250,0,0.0,0,0,0,0,0,5,5,10.0,2.8207885304659497,0.1,20.0,16.0,108.36363636363636,19.0,110.0,32.0,32.0,112.125,0.0,1
Bristol Mountain,New York,2200,1200,0,0.0,0,2,1,1,1,1,6,34.0,3.0,2.0,160.0,148.0,129.0,55.0,60.0,65.0,76.0,129.0,154.0,1
Buffalo Ski Club Ski Area,New York,3429,500,0,0.0,0,0,0,0,2,4,6,43.0,1.0,1.4332307692307693,225.0,150.0,108.36363636363636,12.0,131.26666666666668,35.0,50.0,112.125,100.0,0
Catamount,New York,2000,1000,0,0.0,0,0,1,1,2,3,7,36.0,5.0,2.0,133.0,130.0,100.0,80.0,108.0,38.0,69.0,90.0,55.0,1
Dry Hill Ski Area,New York,950,300,0,0.0,0,0,0,0,1,2,3,7.0,1.0,0.2,35.0,26.0,108.36363636363636,55.0,125.0,57.91695652173913,35.0,112.125,26.0,1
Greek Peak,New York,2100,952,0,0.0,0,0,1,1,4,2,8,56.0,4.0,1.5,220.0,184.0,110.0,62.0,122.0,49.0,63.2,113.0,175.0,1
Holiday Mountain,New York,1550,400,0,0.0,0,0,1,0,1,2,4,9.0,2.8207885304659497,0.4,37.0,37.0,75.0,60.0,50.0,27.0,42.0,85.0,37.0,1
Holiday Valley,New York,2250,750,0,0.0,0,3,8,0,0,2,13,60.0,5.0,1.0,290.0,266.0,116.0,62.0,180.0,65.0,78.0,129.0,189.0,1
Holimont Ski Area,New York,2260,700,0,0.0,0,1,1,2,3,1,8,53.0,3.0,1.5,135.0,135.0,110.0,57.0,180.0,62.0,75.0,119.0,0.0,1
Hunt Hollow Ski Club,New York,2030,825,0,0.0,0,0,0,1,1,1,3,19.0,1.0,1.0,400.0,400.0,108.36363636363636,52.0,130.0,48.0,58.0,75.0,400.0,1
Hunter Mountain,New York,3200,1600,0,0.0,2,1,2,2,2,4,13,67.0,4.0,2.0,320.0,320.0,148.0,59.0,120.0,79.0,89.0,155.0,0.0,0
Labrador Mt.,New York,1825,700,0,0.0,0,0,0,1,2,1,4,23.0,1.0,1.0,250.0,237.0,108.36363636363636,62.0,125.0,59.0,59.0,100.0,180.0,1
Maple Ski Ridge,New York,1200,450,0,0.0,0,0,0,1,1,1,3,10.0,2.8207885304659497,0.3,25.0,25.0,108.36363636363636,57.0,131.26666666666668,26.0,38.0,112.125,20.0,1
McCauley Mountain Ski Center,New York,2250,633,0,0.0,0,0,0,0,1,4,5,23.0,1.0,0.3,70.0,55.0,105.0,61.0,200.0,20.0,30.0,105.0,0.0,1
Mount Peter Ski Area,New York,1250,450,0,0.0,0,0,1,0,2,2,5,14.0,1.0,1.0,69.0,69.0,100.0,83.0,50.0,35.0,54.0,100.0,69.0,1
Oak Mountain,New York,2400,650,0,0.0,0,0,1,0,0,3,4,22.0,1.0,1.2,46.0,18.0,108.36363636363636,71.0,120.0,40.0,40.0,112.125,12.0,1
Peek'n Peak,New York,1800,400,0,0.0,0,0,0,8,0,2,10,27.0,4.0,2.4,110.0,110.0,110.0,55.0,225.0,49.0,63.0,112.125,110.0,1
Plattekill Mountain,New York,3500,1100,0,0.0,0,0,0,1,1,2,4,38.0,1.0,2.0,110.0,75.0,65.0,26.0,175.0,50.0,67.0,65.0,0.0,0
Royal Mountain Ski Area,New York,1800,550,0,0.0,0,0,0,0,3,0,3,14.0,2.8207885304659497,0.3,35.0,28.0,108.36363636363636,63.0,90.0,45.0,45.0,112.125,0.0,1
Snow Ridge,New York,2000,650,0,0.0,0,0,0,0,4,2,6,21.0,2.0,0.8,130.0,65.0,73.0,74.0,230.0,38.0,48.0,100.0,40.0,1
Song Mountain,New York,1940,700,0,0.0,0,0,0,1,1,3,5,24.0,2.8207885304659497,0.4,93.0,70.0,90.0,55.0,125.0,59.0,59.0,122.0,70.0,1
Swain,New York,1970,650,0,0.0,0,0,3,0,1,1,5,35.0,3.0,1.0,130.0,90.0,102.0,72.0,120.0,49.0,59.0,100.0,80.0,1
Thunder Ridge,New York,1270,500,0,0.0,0,0,0,1,2,3,6,30.0,2.8207885304659497,0.4,100.0,100.0,121.0,60.0,131.26666666666668,57.91695652173913,57.0,121.0,100.0,1
Titus Mountain,New York,2025,1200,0,0.0,0,0,0,2,6,2,10,50.0,3.0,2.0,200.0,150.0,101.0,59.0,150.0,39.0,49.0,100.0,70.0,1
Toggenburg Mountain,New York,2000,700,0,0.0,0,0,0,1,1,3,5,22.0,2.0,0.4,85.0,174.87323943661968,108.36363636363636,66.0,130.0,55.0,55.0,122.0,73.0,1
West Mountain,New York,1470,1010,0,0.0,0,0,0,1,2,2,5,29.0,1.0,0.6,124.0,105.0,108.36363636363636,58.0,80.0,49.0,59.0,120.0,105.0,1
Whiteface Mountain Resort,New York,4650,3430,1,0.0,0,1,1,2,5,2,12,86.0,5.0,2.1,288.0,220.0,122.0,61.0,168.0,96.0,96.0,141.0,0.0,0
Willard Mountain,New York,1415,505,0,0.0,0,0,0,0,2,3,5,16.0,2.8207885304659497,0.4,50.0,35.0,85.0,19.0,80.0,46.0,46.0,120.0,35.0,1
Windham Mountain,New York,3100,1600,0,0.0,1,2,0,3,1,5,12,54.0,6.0,2.0,285.0,280.0,123.0,59.0,105.0,85.0,95.0,130.0,56.0,0
Woods Valley Ski Area,New York,1400,500,0,0.0,0,0,0,0,2,4,6,21.0,2.8207885304659497,0.3,25.0,16.0,108.36363636363636,55.0,180.0,31.0,39.0,112.125,15.0,1
Appalachian Ski Mountain,North Carolina,4000,365,0,0.0,0,0,2,0,1,2,5,12.0,3.0,0.5,27.0,27.0,100.0,57.0,50.0,40.0,64.0,100.0,27.0,0
Cataloochee Ski Area,North Carolina,5400,740,0,0.0,0,0,1,1,1,2,5,18.0,2.0,1.0,50.0,50.0,141.0,58.0,50.0,43.0,70.0,108.0,50.0,0
Sapphire Valley,North Carolina,3450,200,0,0.0,0,0,1,0,0,2,3,48.214723926380366,1.0,1.0,8.0,8.0,53.0,55.0,24.0,40.0,43.0,60.0,8.0,0
Beech Mountain Resort,North Carolina,5506,830,0,0.0,0,0,3,0,3,2,8,17.0,1.0,1.0,95.0,95.0,98.0,52.0,31.0,41.0,68.0,97.6,95.0,0
Sugar Mountain Resort,North Carolina,5300,1200,0,0.0,1,0,0,1,4,2,8,21.0,1.0,1.5,125.0,125.0,114.0,50.0,77.0,45.0,75.0,120.0,95.0,0
Wolf Ridge Ski Resort,North Carolina,4700,720,0,0.0,0,0,1,0,1,2,4,15.0,1.0,0.6,65.0,65.0,101.2,49.0,65.0,42.0,65.0,100.0,60.0,0
Alpine Valley,Ohio,1500,230,0,0.0,0,0,1,2,1,1,5,11.0,1.0,0.2,72.0,72.0,105.0,53.0,120.0,43.0,43.0,95.0,72.0,1
Boston Mills,Ohio,871,264,0,0.0,0,0,0,4,2,2,8,7.0,2.0,0.3,40.0,40.0,92.0,56.0,51.0,44.0,44.0,110.0,40.0,1
Brandywine,Ohio,871,240,0,0.0,0,0,2,7,2,5,16,11.0,2.0,0.3,85.0,85.0,92.0,56.0,51.0,44.0,44.0,110.0,85.0,1
Mad River Mountain,Ohio,1460,300,0,0.0,0,0,1,2,3,6,12,20.0,4.0,0.5,144.0,144.0,99.0,57.0,36.0,39.0,44.0,90.0,144.0,1
Snow Trails,Ohio,1475,301,0,0.0,0,0,0,4,2,3,9,17.0,3.0,0.2,80.0,80.0,101.0,58.0,50.0,41.0,52.0,70.0,80.0,1
Anthony Lakes Mountain Resort,Oregon,8000,900,0,0.0,0,0,0,1,0,2,3,21.0,2.0,1.5,1100.0,174.87323943661968,75.0,56.0,300.0,40.0,40.0,80.0,0.0,2
Cooper Spur,Oregon,4000,350,0,0.0,0,0,0,0,1,1,2,10.0,2.8207885304659497,0.1,50.0,174.87323943661968,78.0,66.0,100.0,39.0,39.0,90.0,0.0,0
Hoodoo Ski Area,Oregon,5703,1035,0,0.0,0,0,3,1,1,0,5,34.0,2.8207885304659497,0.4,806.0,174.87323943661968,80.0,81.0,350.0,59.0,59.0,108.0,200.0,0
Mt. Ashland,Oregon,7533,1150,0,0.0,0,0,0,2,2,1,5,23.0,2.0,1.0,220.0,174.87323943661968,94.0,55.0,300.0,45.0,52.0,92.0,40.0,2
Mt. Hood Meadows,Oregon,7300,2777,0,0.0,0,6,0,0,5,2,13,85.0,6.0,3.0,2150.0,174.87323943661968,118.0,51.0,430.0,57.91695652173913,64.16681003584229,160.0,170.0,2
Mt. Hood Skibowl,Oregon,5100,1500,0,0.0,0,0,0,0,4,5,9,65.0,2.0,3.0,960.0,29.0,125.0,82.0,300.0,70.0,70.0,144.0,317.0,0
Spout Springs,Oregon,5500,610,0,0.0,0,0,0,0,2,2,4,14.0,2.8207885304659497,0.1,200.0,174.87323943661968,117.0,19.0,118.0,57.91695652173913,64.16681003584229,125.0,100.0,0
Bear Creek Mountain Resort,Pennsylvania,1100,510,0,0.0,0,0,3,1,0,2,6,23.0,3.0,1.0,86.0,86.0,91.0,52.0,30.0,50.0,60.0,90.0,86.0,1
Ski Big Bear,Pennsylvania,1250,650,0,0.0,0,0,0,0,4,2,6,18.0,1.0,1.5,26.0,26.0,75.0,43.0,69.0,50.0,62.0,75.0,26.0,1
Big Boulder,Pennsylvania,2175,600,0,0.0,0,0,0,2,5,1,8,16.0,8.0,1.4332307692307693,55.0,55.0,76.0,72.0,50.0,50.0,65.0,95.0,55.0,1
Blue Knob,Pennsylvania,3146,1072,0,0.0,0,0,0,2,2,2,6,34.0,1.0,2.0,100.0,84.0,87.0,56.0,120.0,43.0,68.0,105.0,42.0,0
Blue Mountain Resort,Pennsylvania,1600,1082,0,0.0,1,1,1,1,3,9,16,39.0,5.0,1.2,164.0,164.0,122.0,42.0,33.0,55.0,65.0,112.0,164.0,1
Camelback Mountain Resort,Pennsylvania,2100,800,0,0.0,0,2,0,3,5,6,16,37.0,5.0,1.0,166.0,166.0,100.0,56.0,50.0,55.0,70.0,100.0,160.0,1
Eagle Rock,Pennsylvania,1810,550,0,0.0,0,0,0,0,3,0,3,14.0,1.0,1.0,739.8012232415903,174.87323943661968,93.6,47.0,54.444444444444436,57.91695652173913,64.16681003584229,40.0,0.0,1
Elk Mountain Ski Resort,Pennsylvania,2693,1000,0,0.0,0,0,1,0,5,1,7,27.0,2.0,0.7,180.0,146.0,93.6,60.0,60.0,55.0,69.0,100.0,90.0,1
Jack Frost,Pennsylvania,2000,600,0,0.0,0,0,1,2,5,1,9,20.0,1.0,1.0,100.0,100.0,96.0,47.0,50.0,50.0,65.0,105.0,0.0,1
Liberty,Pennsylvania,1190,620,0,0.0,0,0,5,0,0,3,8,16.0,3.0,1.0,100.0,100.0,107.0,54.0,31.0,67.0,77.0,97.0,100.0,1
Mount Pleasant of Edinboro,Pennsylvania,1540,340,0,0.0,0,0,0,1,0,1,2,10.0,2.8207885304659497,0.5,40.0,35.0,75.0,48.0,100.0,30.0,33.0,90.0,35.0,1
Roundtop Mountain Resort,Pennsylvania,1400,600,0,0.0,0,0,3,2,0,3,8,20.0,2.0,0.4,103.0,103.0,93.6,55.0,30.0,63.0,73.0,95.88888888888887,100.0,1
Seven Springs,Pennsylvania,2994,750,0,0.0,2,0,3,5,0,4,14,33.0,7.0,1.2,285.0,285.0,99.0,87.0,135.0,67.0,87.0,115.0,200.0,0
Shawnee Mountain Ski Area,Pennsylvania,1350,700,0,0.0,0,1,1,0,4,4,10,23.0,2.0,1.6,125.0,125.0,100.0,44.0,50.0,55.0,65.0,122.0,120.0,1
Ski Sawmill,Pennsylvania,2215,515,0,0.0,0,0,0,1,1,3,5,14.0,1.0,0.1,15.0,13.0,93.6,50.0,24.0,30.0,44.0,90.0,15.0,1
Montage Mountain,Pennsylvania,1960,1000,0,0.0,0,0,1,3,1,2,7,26.0,1.0,1.2,140.0,140.0,60.0,35.0,47.0,67.0,64.16681003584229,90.0,140.0,1
Spring Mountain Ski Area,Pennsylvania,528,450,0,0.0,0,0,0,1,3,2,6,9.0,1.0,0.2,45.0,45.0,100.0,56.0,20.0,57.91695652173913,64.16681003584229,100.0,45.0,1
Tussey Mountain,Pennsylvania,1750,520,0,0.0,0,0,1,0,1,3,5,8.0,1.0,0.3,38.0,30.0,100.0,39.0,41.0,40.0,45.0,100.0,30.0,1
Whitetail Resort,Pennsylvania,1800,935,0,0.0,0,1,3,0,2,2,8,23.0,2.0,1.0,120.0,120.0,116.0,28.0,40.0,69.0,71.0,100.0,120.0,1
Yawgoo Valley,Rhode Island,315,245,0,0.0,0,0,0,0,2,2,4,13.0,1.0,0.2,30.0,30.0,100.0,54.0,40.0,57.91695652173913,64.16681003584229,100.0,30.0,1
Deer Mountain Ski Resort,South Dakota,6850,940,0,0.0,0,0,0,1,1,2,4,63.0,2.0,1.6,500.0,50.0,69.0,51.0,200.0,45.0,45.0,81.0,0.0,2
Terry Peak Ski Area,South Dakota,7100,1100,0,0.0,0,3,0,1,0,1,5,30.0,1.0,1.2,450.0,225.0,114.0,65.0,150.0,58.0,58.0,120.0,0.0,2
Ober Gatlinburg Ski Resort,Tennessee,3300,600,0,0.0,0,0,2,0,1,1,4,10.0,1.0,1.0,739.8012232415903,174.87323943661968,83.0,44.0,35.0,36.0,65.0,94.0,0.0,0
Alta Ski Area,Utah,11068,2538,0,0.0,0,3,0,1,2,0,6,116.0,2.8207885304659497,1.3,2614.0,140.0,150.0,81.0,545.0,116.0,116.0,140.0,0.0,2
Beaver Mountain,Utah,8600,1600,0,0.0,0,0,0,1,3,1,5,48.0,2.0,0.8,464.0,174.87323943661968,120.0,81.0,400.0,50.0,50.0,120.0,0.0,2
Brian Head Resort,Utah,10970,1548,0,0.0,0,1,0,6,1,0,8,71.0,2.0,0.6,650.0,216.0,149.0,54.0,360.0,42.0,59.0,148.0,0.0,2
Brighton Resort,Utah,10500,1745,0,0.0,0,3,1,1,0,2,7,66.0,4.0,1.2,1050.0,200.0,138.0,83.0,500.0,85.0,85.0,138.0,200.0,2
Eagle Point,Utah,10600,1500,0,0.0,0,0,1,1,2,1,5,40.0,1.0,0.9,650.0,174.87323943661968,127.5,9.0,400.0,45.0,60.0,109.0,0.0,2
Solitude Mountain Resort,Utah,10488,2494,0,0.0,0,4,2,1,1,1,9,80.0,2.8207885304659497,3.0,1200.0,150.0,161.0,62.0,500.0,109.0,119.0,148.0,0.0,2
Sundance,Utah,8250,2150,0,0.0,0,0,2,2,0,1,5,45.0,1.0,0.6,450.0,112.0,128.0,50.0,320.0,80.0,80.0,129.0,0.0,2
Nordic Valley Resort,Utah,6400,960,0,0.0,0,0,0,0,2,2,4,23.0,1.0,0.4,140.0,84.0,105.0,51.0,300.0,45.0,50.0,105.0,140.0,0
Bolton Valley,Vermont,3150,1704,0,0.0,0,0,2,0,3,1,6,71.0,3.0,0.6,300.0,90.0,133.0,53.0,300.0,69.0,79.0,132.0,50.0,0
Bromley Mountain,Vermont,3284,1334,0,0.0,0,1,1,0,4,3,9,47.0,1.0,2.5,178.0,153.0,136.69230769230768,83.0,168.0,87.0,91.0,152.0,0.0,0
Burke Mountain,Vermont,3267,2011,0,0.0,0,2,1,0,0,3,6,50.0,3.0,2.2,178.0,125.0,110.0,62.0,217.0,73.0,73.0,125.0,0.0,0
Jay Peak,Vermont,3968,2153,1,0.0,0,1,3,1,1,2,9,79.0,2.0,3.0,385.0,300.0,155.0,64.0,349.0,89.0,89.0,160.0,0.0,0
Mad River Glen,Vermont,3637,2037,0,0.0,0,0,0,2,2,1,5,52.0,2.8207885304659497,1.0,115.0,16.0,134.0,71.0,228.0,57.91695652173913,64.16681003584229,135.0,0.0,0
Magic Mountain,Vermont,2850,1500,0,0.0,0,0,0,0,3,3,6,50.0,1.0,1.6,205.0,95.0,76.0,59.0,150.0,74.0,74.0,80.0,0.0,0
Mount Snow,Vermont,3600,1700,0,0.0,1,3,1,6,4,5,20,86.0,10.0,3.0,600.0,480.0,135.0,65.0,156.0,57.91695652173913,64.16681003584229,135.0,0.0,0
Pico Mountain ,Vermont,3967,1967,0,0.0,0,2,0,2,2,1,7,59.0,1.0,4.0,260.0,156.0,136.69230769230768,82.0,250.0,81.0,81.0,135.76923076923077,0.0,0
Smugglers' Notch Resort,Vermont,3640,2610,0,0.0,0,0,0,0,6,2,8,78.0,6.0,3.0,1000.0,192.0,136.0,63.0,280.0,79.0,79.0,135.0,0.0,0
Stowe Mountain Resort,Vermont,4395,2360,2,0.0,0,0,4,2,2,2,12,116.0,2.8207885304659497,3.7,485.0,388.0,155.0,86.0,314.0,57.91695652173913,64.16681003584229,137.0,0.0,0
Stratton Mountain,Vermont,3875,2003,1,0.0,4,1,2,1,1,1,11,99.0,4.0,3.0,670.0,474.0,155.0,58.0,180.0,57.91695652173913,64.16681003584229,160.0,0.0,0
Sugarbush,Vermont,4083,2600,0,0.0,0,5,5,2,1,3,16,111.0,4.0,3.0,581.0,406.0,150.0,61.0,250.0,119.0,119.0,156.0,0.0,0
Suicide Six,Vermont,1200,650,0,0.0,0,0,0,0,2,1,3,24.0,2.8207885304659497,0.4,100.0,50.0,100.0,85.0,90.0,45.0,75.0,106.0,0.0,1
Bryce Resort,Virginia,1750,500,0,0.0,0,0,1,0,1,5,7,8.0,2.8207885304659497,0.4,25.0,25.0,100.0,54.0,30.0,43.0,68.0,95.0,20.0,1
Massanutten,Virginia,2925,1110,0,0.0,0,0,3,1,0,3,7,13.0,2.0,0.8,70.0,70.0,68.0,46.0,35.0,57.91695652173913,64.16681003584229,97.0,70.0,0
The Homestead Ski Area,Virginia,3200,700,0,0.0,0,0,0,0,1,1,2,10.0,2.8207885304659497,1.0,45.0,100.0,91.0,60.0,50.0,57.91695652173913,64.16681003584229,100.0,0.0,0
Wintergreen Resort,Virginia,3515,1003,0,0.0,2,0,1,1,1,0,5,27.0,2.0,1.0,129.0,129.0,107.0,44.0,34.0,59.0,64.16681003584229,121.0,45.0,0
49 Degrees North,Washington,5774,1851,0,0.0,0,0,1,0,5,1,7,89.0,1.0,2.0,2325.0,174.87323943661968,101.0,48.0,301.0,62.0,62.0,135.0,250.0,0
Alpental,Washington,5420,2280,0,0.0,0,1,0,0,3,1,5,24.0,2.8207885304659497,1.2,825.0,174.87323943661968,120.0,52.0,428.0,57.91695652173913,64.16681003584229,144.0,121.0,0
Bluewood,Washington,5670,1125,0,0.0,0,0,0,2,0,1,3,24.0,2.0,2.0,355.0,174.87323943661968,70.0,40.0,300.0,42.0,47.0,110.0,0.0,0
Crystal Mountain,Washington,7012,3100,1,0.0,2,2,1,2,2,0,10,57.0,1.0,2.5,2600.0,10.0,113.55555555555556,57.0,486.0,99.0,99.0,131.33333333333334,0.0,2
Mission Ridge,Washington,6820,2250,0,0.0,0,1,0,0,3,2,6,48.214723926380366,3.0,0.8,2000.0,66.0,104.0,53.0,200.0,57.91695652173913,64.16681003584229,96.0,500.0,2
Mt. Spokane Ski and Snowboard Park,Washington,5889,2000,0,0.0,0,0,0,1,5,1,7,52.0,3.0,0.6,1704.0,174.87323943661968,100.0,81.0,300.0,45.0,59.0,103.0,45.0,0
Stevens Pass Resort,Washington,5845,1800,0,0.0,0,3,0,4,3,0,10,52.0,4.0,1.0,1125.0,174.87323943661968,116.0,82.0,460.0,57.91695652173913,64.16681003584229,145.0,450.0,0
The Summit at Snoqualmie,Washington,3865,1025,0,0.0,0,3,3,4,10,7,27,112.0,5.0,0.8,1994.0,5.0,120.0,82.0,428.0,85.0,95.0,140.0,541.0,0
White Pass,Washington,6550,2050,0,0.0,0,2,1,1,2,2,8,45.0,2.0,2.5,1402.0,30.0,148.0,67.0,400.0,69.0,69.0,144.0,90.0,2
Canaan Valley Resort,West Virginia,4280,850,0,0.0,0,0,1,2,0,1,4,47.0,1.0,1.2,95.0,75.0,114.0,48.0,160.0,52.0,68.0,93.0,0.0,0
Snowshoe Mountain Resort,West Virginia,4848,1500,0,0.0,0,3,2,6,0,3,14,60.0,5.0,1.5,257.0,257.0,125.0,46.0,180.0,70.0,87.0,138.0,86.0,0
Timberline Four Seasons,West Virginia,4265,1000,0,0.0,0,0,0,2,1,1,4,40.0,1.0,2.0,100.0,100.0,97.0,37.0,150.0,72.0,92.0,115.0,27.0,0
Winterplace Ski Resort,West Virginia,3600,603,0,0.0,0,0,2,3,2,2,9,27.0,2.0,1.2,90.0,90.0,120.0,36.0,100.0,56.0,72.0,120.0,74.0,0
Alpine Valley Resort,Wisconsin,1040,388,0,0.0,0,3,0,3,1,5,12,21.0,3.0,0.2,90.0,90.0,100.0,55.0,80.0,56.0,65.0,120.0,90.0,1
Cascade Mountain,Wisconsin,1280,460,0,0.0,0,2,2,3,2,3,12,47.0,4.0,1.1,175.0,175.0,120.0,57.0,56.0,59.0,64.0,120.0,0.0,1
Christie Mountain,Wisconsin,1650,350,0,0.0,0,0,0,0,1,5,6,30.0,4.0,0.8,45.0,41.0,92.0,43.0,48.0,28.0,38.0,120.0,35.0,1
Christmas Mountain,Wisconsin,1250,250,0,0.0,0,0,1,0,0,2,3,16.0,2.8207885304659497,0.4,40.0,40.0,75.0,50.0,20.0,57.91695652173913,64.16681003584229,70.0,40.0,1
Devils Head,Wisconsin,995,500,0,0.0,0,0,3,1,6,2,12,27.0,1.0,1.0,260.0,260.0,110.0,48.0,45.0,45.0,65.0,135.0,200.0,1
Grand Geneva,Wisconsin,1086,211,0,0.0,0,0,0,0,3,3,6,20.0,1.0,0.2,30.0,30.0,90.0,25.0,25.0,28.0,49.0,93.0,30.0,1
Granite Peak Ski Area,Wisconsin,1942,700,0,0.0,1,2,0,2,0,2,7,75.0,4.0,0.6,220.0,160.0,136.0,82.0,75.0,92.0,92.0,135.0,200.0,1
Little Switzerland,Wisconsin,1269,200,0,0.0,0,0,0,0,4,4,8,18.0,3.0,1.0,50.0,50.0,101.26666666666668,63.65653495440729,61.46666666666667,33.0,41.0,108.0,50.0,1
Mount La Crosse,Wisconsin,1110,516,0,0.0,0,0,0,0,3,1,4,19.0,1.0,0.4,100.0,100.0,115.0,60.0,40.0,56.0,56.0,100.0,90.0,1
Nordic Mountain,Wisconsin,1137,265,0,0.0,0,0,0,1,1,5,7,18.0,4.0,1.0,60.0,60.0,68.0,43.0,80.0,57.91695652173913,47.0,90.0,60.0,1
Sunburst,Wisconsin,1100,214,0,0.0,0,0,0,0,3,6,9,13.0,4.0,0.5,37.0,37.0,99.0,59.0,50.0,33.0,44.0,115.0,37.0,1
Trollhaugen,Wisconsin,1200,260,0,0.0,0,0,2,0,1,5,8,24.0,4.0,0.5,86.0,86.0,130.0,69.0,50.0,54.0,54.0,120.0,86.0,1
Tyrol Basin,Wisconsin,1160,300,0,0.0,0,0,0,3,0,2,5,18.0,5.0,0.5,32.0,32.0,112.0,61.0,41.0,17.0,48.0,103.0,32.0,1
Whitecap Mountain,Wisconsin,1750,400,0,0.0,0,0,1,0,4,0,5,43.0,1.0,1.0,400.0,300.0,105.0,57.0,200.0,60.0,60.0,118.0,0.0,1
Wilmot Mountain,Wisconsin,1030,230,0,0.0,0,0,3,2,2,3,10,23.0,2.0,0.5,135.0,135.0,125.0,81.0,70.0,56.0,66.0,139.0,135.0,1
Grand Targhee Resort,Wyoming,9920,2270,0,0.0,0,2,2,0,0,1,5,95.0,1.0,2.7,2602.0,174.87323943661968,152.0,50.0,500.0,90.0,90.0,152.0,0.0,2
Hogadon Basin,Wyoming,8000,640,0,0.0,0,0,0,0,1,1,2,28.0,1.0,0.6,92.0,32.0,121.0,61.0,80.0,48.0,48.0,95.0,0.0,2
Meadowlark Ski Lodge,Wyoming,9500,1000,0,0.0,0,0,0,1,1,1,3,14.0,1.0,1.5,300.0,174.87323943661968,119.33333333333331,9.0,292.7142857142857,57.91695652173913,64.16681003584229,116.0,0.0,2
Sleeping Giant Ski Resort,Wyoming,7428,810,0,0.0,0,0,0,1,1,1,3,48.0,1.0,1.0,184.0,18.0,61.0,81.0,310.0,42.0,42.0,77.0,0.0,2
Snow King Resort,Wyoming,7808,1571,0,0.0,0,0,1,1,1,0,3,32.0,2.0,1.0,400.0,250.0,121.0,80.0,300.0,59.0,59.0,123.0,110.0,2
Snowy Range Ski & Recreation Area,Wyoming,9663,990,0,0.0,0,0,0,1,3,1,5,33.0,2.0,0.7,75.0,30.0,131.0,59.0,250.0,49.0,49.0,116.0,0.0,2
White Pine Ski Area,Wyoming,9500,1100,0,0.0,0,0,0,2,0,0,2,25.0,2.8207885304659497,0.4,370.0,174.87323943661968,119.33333333333331,81.0,150.0,57.91695652173913,49.0,116.0,0.0,2
